checkedAt,coin,premium,korbitPrice,foreignPrice,usdKrwRate
2026-09-13T00:00:06.896Z,BTC,1.3621,105106000,77237.2,1342.534479
2026-09-13T00:00:06.896Z,ETH,1.4212,3437000,2524.21,1342.534479
2026-09-13T00:00:06.896Z,SOL,1.2822,138300,101.71,1342.534479
2026-09-13T00:00:06.896Z,BNB,2.7358,1003000,727.2,1342.534479
2026-09-13T00:00:06.896Z,XRP,1.3908,1859,1.3657,1342.534479
2026-09-13T00:00:06.896Z,ADA,1.6045,282.5,0.2071,1342.534479
2026-09-13T00:00:06.896Z,AVAX,0.6513,9990,7.393,1342.534479
2026-09-13T00:00:06.896Z,DOT,1.1393,1382,1.0178,1342.534479
2026-09-13T00:00:06.896Z,LINK,1.8429,15710,11.49,1342.534479
2026-09-13T00:00:06.896Z,POL,1.4981,131.4,0.09643,1342.534479
2026-09-13T00:00:06.896Z,DOGE,1.1126,115.1,0.08479,1342.534479
2026-09-13T00:00:06.896Z,TRX,1.3785,462.4,0.33974,1342.534479
2026-09-13T00:00:06.896Z,XLM,1.4965,245,0.1798,1342.534479
2026-09-13T00:00:06.896Z,SHIB,1.3606,0.0072,5.291e-06,1342.534479
2026-09-13T00:00:06.896Z,BCH,7.1045,325400,226.3,1342.534479
2026-09-13T00:00:06.896Z,UNI,1.1784,8650,6.368,1342.534479
2026-09-13T00:00:06.896Z,AAVE,1.7094,171300,125.45,1342.534479
2026-09-13T00:00:06.896Z,SUSHI,-3.0321,292,0.2243,1342.534479
2026-09-13T00:00:06.896Z,LDO,-19.6885,399.8,0.3708,1342.534479
2026-09-13T00:00:06.896Z,ICP,1.2966,3714,2.731,1342.534479
2026-09-13T00:00:06.896Z,NEAR,0.479,3193,2.367,1342.534479
2026-09-13T00:00:06.896Z,HBAR,0.9776,101.2,0.07465,1342.534479
2026-09-13T00:00:06.896Z,XTZ,-2.3861,348.2,0.2657,1342.534479
2026-09-13T00:00:06.896Z,DYDX,-3.0168,149.2,0.11459,1342.534479
2026-09-13T00:00:06.896Z,ARB,0.9151,190,0.14024,1342.534479
2026-09-13T00:00:06.896Z,GMX,-4.0475,10160,7.887,1342.534479
2026-09-13T00:00:06.896Z,IMX,0.1199,163.3,0.12149,1342.534479
2026-09-13T00:00:06.896Z,INJ,1.9511,8185,5.98,1342.534479
2026-09-13T00:00:06.896Z,GRT,21.716,29.92,0.01831,1342.534479
2026-09-13T00:00:06.896Z,SUI,1.3886,985.9,0.7243,1342.534479
2026-09-13T00:00:06.896Z,HYPE,1.414,108400,79.617,1342.534479
2026-09-13T00:05:06.934Z,BTC,1.3885,105155000,77253.1,1342.534479
2026-09-13T00:05:06.934Z,ETH,1.3405,3435000,2524.75,1342.534479
2026-09-13T00:05:06.934Z,SOL,1.332,138300,101.66,1342.534479
2026-09-13T00:05:06.934Z,BNB,2.7782,1003000,726.9,1342.534479
2026-09-13T00:05:06.934Z,XRP,1.3957,1858,1.3649,1342.534479
2026-09-13T00:05:06.934Z,ADA,1.5065,282.5,0.2073,1342.534479
2026-09-13T00:05:06.934Z,AVAX,0.7467,9990,7.386,1342.534479
2026-09-13T00:05:06.934Z,DOT,1.2687,1382,1.0165,1342.534479
2026-09-13T00:05:06.934Z,LINK,1.8163,15710,11.493,1342.534479
2026-09-13T00:05:06.934Z,POL,1.5191,131.4,0.09641,1342.534479
2026-09-13T00:05:06.934Z,DOGE,1.1484,115.1,0.08476,1342.534479
2026-09-13T00:05:06.934Z,TRX,1.3218,462.4,0.33993,1342.534479
2026-09-13T00:05:06.934Z,XLM,1.4119,245,0.17995,1342.534479
2026-09-13T00:05:06.934Z,SHIB,1.3415,0.0072,5.292e-06,1342.534479
2026-09-13T00:05:06.934Z,BCH,7.1045,325400,226.3,1342.534479
2026-09-13T00:05:06.934Z,UNI,1.0197,8650,6.378,1342.534479
2026-09-13T00:05:06.934Z,AAVE,1.6851,171300,125.48,1342.534479
2026-09-13T00:05:06.934Z,SUSHI,-2.8588,292,0.2239,1342.534479
2026-09-13T00:05:06.934Z,LDO,-19.7534,399.8,0.3711,1342.534479
2026-09-13T00:05:06.934Z,ICP,1.2224,3714,2.733,1342.534479
2026-09-13T00:05:06.934Z,NEAR,0.3095,3193,2.371,1342.534479
2026-09-13T00:05:06.934Z,HBAR,0.9776,101.2,0.07465,1342.534479
2026-09-13T00:05:06.934Z,XTZ,-2.4595,348.2,0.2659,1342.534479
2026-09-13T00:05:06.934Z,DYDX,-2.9744,149.2,0.11454,1342.534479
2026-09-13T00:05:06.934Z,ARB,1.2292,190.7,0.14032,1342.534479
2026-09-13T00:05:06.934Z,GMX,-3.9622,10160,7.88,1342.534479
2026-09-13T00:05:06.934Z,IMX,0.1446,163.3,0.12146,1342.534479
2026-09-13T00:05:06.934Z,INJ,1.883,8185,5.984,1342.534479
2026-09-13T00:05:06.934Z,GRT,23.1282,29.92,0.0181,1342.534479
2026-09-13T00:05:06.934Z,SUI,1.4026,985.9,0.7242,1342.534479
2026-09-13T00:05:06.934Z,HYPE,1.4198,108300,79.539,1342.534479
2026-09-13T00:10:06.908Z,BTC,1.4156,105183000,77253,1342.534479
2026-09-13T00:10:06.908Z,ETH,1.4458,3440000,2525.8,1342.534479
2026-09-13T00:10:06.908Z,SOL,1.5219,138600,101.69,1342.534479
2026-09-13T00:10:06.908Z,BNB,2.6934,1003000,727.5,1342.534479
2026-09-13T00:10:06.908Z,XRP,1.3982,1859,1.3656,1342.534479
2026-09-13T00:10:06.908Z,ADA,1.2981,282.6,0.2078,1342.534479
2026-09-13T00:10:06.908Z,AVAX,0.774,9990,7.384,1342.534479
2026-09-13T00:10:06.908Z,DOT,1.0599,1382,1.0186,1342.534479
2026-09-13T00:10:06.908Z,LINK,1.772,15710,11.498,1342.534479
2026-09-13T00:10:06.908Z,POL,1.3824,131.4,0.09654,1342.534479
2026-09-13T00:10:06.908Z,DOGE,1.2405,115.3,0.08483,1342.534479
2026-09-13T00:10:06.908Z,TRX,1.3367,462.4,0.33988,1342.534479
2026-09-13T00:10:06.908Z,XLM,1.3499,245,0.18006,1342.534479
2026-09-13T00:10:06.908Z,SHIB,1.2841,0.0072,5.295e-06,1342.534479
2026-09-13T00:10:06.908Z,BCH,7.1992,325400,226.1,1342.534479
2026-09-13T00:10:06.908Z,UNI,-0.1544,8650,6.453,1342.534479
2026-09-13T00:10:06.908Z,AAVE,1.491,171300,125.72,1342.534479
2026-09-13T00:10:06.908Z,SUSHI,-2.9888,292,0.2242,1342.534479
2026-09-13T00:10:06.908Z,LDO,-19.883,399.8,0.3717,1342.534479
2026-09-13T00:10:06.908Z,ICP,1.1115,3714,2.736,1342.534479
2026-09-13T00:10:06.908Z,NEAR,0.1405,3193,2.375,1342.534479
2026-09-13T00:10:06.908Z,HBAR,0.9236,101.2,0.07469,1342.534479
2026-09-13T00:10:06.908Z,XTZ,-2.2757,348.2,0.2654,1342.534479
2026-09-13T00:10:06.908Z,DYDX,-3.1098,149.2,0.1147,1342.534479
2026-09-13T00:10:06.908Z,ARB,0.9199,190.7,0.14075,1342.534479
2026-09-13T00:10:06.908Z,GMX,-3.8768,10160,7.873,1342.534479
2026-09-13T00:10:06.908Z,IMX,0.0704,163.3,0.12155,1342.534479
2026-09-13T00:10:06.908Z,INJ,1.1225,8185,6.029,1342.534479
2026-09-13T00:10:06.908Z,GRT,23.3326,29.92,0.01807,1342.534479
2026-09-13T00:10:06.908Z,SUI,1.3046,985.9,0.7249,1342.534479
2026-09-13T00:10:06.908Z,HYPE,1.439,108300,79.524,1342.534479
2026-09-13T00:15:06.913Z,BTC,1.4062,105152000,77237.4,1342.534479
2026-09-13T00:15:06.913Z,ETH,1.4252,3437000,2524.11,1342.534479
2026-09-13T00:15:06.913Z,SOL,1.4452,138400,101.62,1342.534479
2026-09-13T00:15:06.913Z,BNB,2.7782,1003000,726.9,1342.534479
2026-09-13T00:15:06.913Z,XRP,1.428,1859,1.3652,1342.534479
2026-09-13T00:15:06.913Z,ADA,1.5751,283.1,0.2076,1342.534479
2026-09-13T00:15:06.913Z,AVAX,0.8149,9990,7.381,1342.534479
2026-09-13T00:15:06.913Z,DOT,1.209,1382,1.0171,1342.534479
2026-09-13T00:15:06.913Z,LINK,1.8872,15710,11.485,1342.534479
2026-09-13T00:15:06.913Z,POL,1.4981,131.4,0.09643,1342.534479
2026-09-13T00:15:06.913Z,DOGE,1.3241,115.3,0.08476,1342.534479
2026-09-13T00:15:06.913Z,TRX,1.3904,462.4,0.3397,1342.534479
2026-09-13T00:15:06.913Z,XLM,1.5116,245.2,0.17992,1342.534479
2026-09-13T00:15:06.913Z,SHIB,1.3223,0.0072,5.293e-06,1342.534479
2026-09-13T00:15:06.913Z,BCH,7.3416,325400,225.8,1342.534479
2026-09-13T00:15:06.913Z,UNI,-0.2317,8650,6.458,1342.534479
2026-09-13T00:15:06.913Z,AAVE,1.5961,171300,125.59,1342.534479
2026-09-13T00:15:06.913Z,SUSHI,-2.8154,292,0.2238,1342.534479
2026-09-13T00:15:06.913Z,LDO,-19.7534,399.8,0.3711,1342.534479
2026-09-13T00:15:06.913Z,ICP,1.4452,3714,2.727,1342.534479
2026-09-13T00:15:06.913Z,NEAR,0.3095,3193,2.371,1342.534479
2026-09-13T00:15:06.913Z,HBAR,0.9641,101.2,0.07466,1342.534479
2026-09-13T00:15:06.913Z,XTZ,-1.5337,348.2,0.2634,1342.534479
2026-09-13T00:15:06.913Z,DYDX,-3.3037,149.2,0.11493,1342.534479
2026-09-13T00:15:06.913Z,ARB,1.6297,191.4,0.14028,1342.534479
2026-09-13T00:15:06.913Z,GMX,-3.9013,10160,7.875,1342.534479
2026-09-13T00:15:06.913Z,IMX,0.054,163.3,0.12157,1342.534479
2026-09-13T00:15:06.913Z,INJ,1.1561,8185,6.027,1342.534479
2026-09-13T00:15:06.913Z,GRT,23.2644,29.92,0.01808,1342.534479
2026-09-13T00:15:06.913Z,SUI,1.3046,985.9,0.7249,1342.534479
2026-09-13T00:15:06.913Z,HYPE,1.4645,108300,79.504,1342.534479
2026-09-13T00:20:06.901Z,BTC,1.3945,105140000,77237.5,1342.534479
2026-09-13T00:20:06.901Z,ETH,1.3876,3436000,2524.31,1342.534479
2026-09-13T00:20:06.901Z,SOL,1.4851,138400,101.58,1342.534479
2026-09-13T00:20:06.901Z,BNB,2.7923,1003000,726.8,1342.534479
2026-09-13T00:20:06.901Z,XRP,1.3882,1858,1.365,1342.534479
2026-09-13T00:20:06.901Z,ADA,1.624,283.1,0.2075,1342.534479
2026-09-13T00:20:06.901Z,AVAX,0.8013,9990,7.382,1342.534479
2026-09-13T00:20:06.901Z,DOT,1.2687,1382,1.0165,1342.534479
2026-09-13T00:20:06.901Z,LINK,1.8606,15710,11.488,1342.534479
2026-09-13T00:20:06.901Z,POL,1.5823,131.4,0.09635,1342.534479
2026-09-13T00:20:06.901Z,DOGE,1.3122,115.3,0.08477,1342.534479
2026-09-13T00:20:06.901Z,TRX,2.1317,466,0.33986,1342.534479
2026-09-13T00:20:06.901Z,XLM,1.5398,245.2,0.17987,1342.534479
2026-09-13T00:20:06.901Z,SHIB,2.7878,0.0073,5.29e-06,1342.534479
2026-09-13T00:20:06.901Z,BCH,7.1518,325400,226.2,1342.534479
2026-09-13T00:20:06.901Z,UNI,-0.4013,8650,6.469,1342.534479
2026-09-13T00:20:06.901Z,AAVE,1.5152,171300,125.69,1342.534479
2026-09-13T00:20:06.901Z,SUSHI,-3.0321,292,0.2243,1342.534479
2026-09-13T00:20:06.901Z,LDO,-19.8183,399.8,0.3714,1342.534479
2026-09-13T00:20:06.901Z,ICP,1.5196,3714,2.725,1342.534479
2026-09-13T00:20:06.901Z,NEAR,0.1827,3193,2.374,1342.534479
2026-09-13T00:20:06.901Z,HBAR,0.9912,101.2,0.07464,1342.534479
2026-09-13T00:20:06.901Z,XTZ,-1.7575,348.2,0.264,1342.534479
2026-09-13T00:20:06.901Z,DYDX,-3.3793,149.2,0.11502,1342.534479
2026-09-13T00:20:06.901Z,ARB,1.4898,191.3,0.1404,1342.534479
2026-09-13T00:20:06.901Z,GMX,-3.9622,10160,7.88,1342.534479
2026-09-13T00:20:06.901Z,IMX,-0.3069,163.3,0.12201,1342.534479
2026-09-13T00:20:06.901Z,INJ,-0.0708,8185,6.101,1342.534479
2026-09-13T00:20:06.901Z,GRT,22.9923,29.92,0.01812,1342.534479
2026-09-13T00:20:06.901Z,SUI,1.179,985.9,0.7258,1342.534479
2026-09-13T00:20:06.901Z,HYPE,1.5053,108300,79.472,1342.534479
2026-09-13T00:25:06.915Z,BTC,1.4014,105140000,77232.2,1342.534479
2026-09-13T00:25:06.915Z,ETH,1.3868,3436000,2524.33,1342.534479
2026-09-13T00:25:06.915Z,SOL,1.4951,138400,101.57,1342.534479
2026-09-13T00:25:06.915Z,BNB,2.764,1003000,727,1342.534479
2026-09-13T00:25:06.915Z,XRP,1.4231,1860,1.366,1342.534479
2026-09-13T00:25:06.915Z,ADA,1.5751,283.1,0.2076,1342.534479
2026-09-13T00:25:06.915Z,AVAX,0.7194,9990,7.388,1342.534479
2026-09-13T00:25:06.915Z,DOT,1.2986,1382,1.0162,1342.534479
2026-09-13T00:25:06.915Z,LINK,1.8606,15710,11.488,1342.534479
2026-09-13T00:25:06.915Z,POL,1.5402,131.4,0.09639,1342.534479
2026-09-13T00:25:06.915Z,DOGE,1.3361,115.3,0.08475,1342.534479
2026-09-13T00:25:06.915Z,TRX,2.1166,466,0.33991,1342.534479
