checkedAt,coin,premium,korbitPrice,foreignPrice,usdKrwRate
2026-09-11T00:00:06.915Z,BTC,2.1515,104706000,76549.9,1339.004703
2026-09-11T00:00:06.915Z,ETH,2.1795,3335000,2437.53,1339.004703
2026-09-11T00:00:06.915Z,SOL,2.1562,134900,98.62,1339.004703
2026-09-11T00:00:06.915Z,BNB,2.0265,967500,708.2,1339.004703
2026-09-11T00:00:06.915Z,XRP,2.1527,1824,1.3335,1339.004703
2026-09-11T00:00:06.915Z,ADA,2.2315,279.8,0.2044,1339.004703
2026-09-11T00:00:06.915Z,AVAX,2.4894,10180,7.418,1339.004703
2026-09-11T00:00:06.915Z,DOT,2.3447,1501,1.0953,1339.004703
2026-09-11T00:00:06.915Z,LINK,2.3376,15690,11.45,1339.004703
2026-09-11T00:00:06.915Z,POL,2.2823,126,0.092,1339.004703
2026-09-11T00:00:06.915Z,DOGE,2.1959,113.4,0.08287,1339.004703
2026-09-11T00:00:06.915Z,TRX,2.3621,465.7,0.33977,1339.004703
2026-09-11T00:00:06.915Z,XLM,2.1604,238.8,0.17457,1339.004703
2026-09-11T00:00:06.915Z,SHIB,2.4266,0.0069,5.031e-06,1339.004703
2026-09-11T00:00:06.915Z,BCH,13.1419,338900,223.7,1339.004703
2026-09-11T00:00:06.915Z,UNI,2.8153,8190,5.949,1339.004703
2026-09-11T00:00:06.915Z,AAVE,2.4955,165500,120.59,1339.004703
2026-09-11T00:00:06.915Z,SUSHI,2.719,292,0.2123,1339.004703
2026-09-11T00:00:06.915Z,LDO,-18.7758,399.8,0.3676,1339.004703
2026-09-11T00:00:06.915Z,ICP,1.3755,3813,2.809,1339.004703
2026-09-11T00:00:06.915Z,NEAR,2.073,3339,2.443,1339.004703
2026-09-11T00:00:06.915Z,HBAR,2.2211,102.3,0.07474,1339.004703
2026-09-11T00:00:06.915Z,XTZ,2.8655,348.2,0.2528,1339.004703
2026-09-11T00:00:06.915Z,DYDX,-0.84,149.2,0.11237,1339.004703
2026-09-11T00:00:06.915Z,ARB,2.5701,192.1,0.13987,1339.004703
2026-09-11T00:00:06.915Z,GMX,2.7034,10160,7.388,1339.004703
2026-09-11T00:00:06.915Z,IMX,2.8906,163.3,0.11853,1339.004703
2026-09-11T00:00:06.915Z,INJ,-0.7418,7900,5.944,1339.004703
2026-09-11T00:00:06.915Z,GRT,14.0734,26.99,0.01767,1339.004703
2026-09-11T00:00:06.915Z,SUI,2.2953,995.8,0.727,1339.004703
2026-09-11T00:00:06.915Z,HYPE,1.1866,106500,78.604,1339.004703
2026-09-11T00:05:06.957Z,BTC,2.2016,104866000,76629.3,1339.004703
2026-09-11T00:05:06.957Z,ETH,2.0526,3335000,2440.56,1339.004703
2026-09-11T00:05:06.957Z,SOL,2.1587,135300,98.91,1339.004703
2026-09-11T00:05:06.957Z,BNB,1.8395,967500,709.5,1339.004703
2026-09-11T00:05:06.957Z,XRP,2.241,1829,1.336,1339.004703
2026-09-11T00:05:06.957Z,ADA,2.1316,279.8,0.2046,1339.004703
2026-09-11T00:05:06.957Z,AVAX,2.379,10180,7.426,1339.004703
2026-09-11T00:05:06.957Z,DOT,2.121,1501,1.0977,1339.004703
2026-09-11T00:05:06.957Z,LINK,2.0702,15690,11.48,1339.004703
2026-09-11T00:05:06.957Z,POL,2.0937,126,0.09217,1339.004703
2026-09-11T00:05:06.957Z,DOGE,1.9131,113.4,0.0831,1339.004703
2026-09-11T00:05:06.957Z,TRX,2.2898,465.7,0.34001,1339.004703
2026-09-11T00:05:06.957Z,XLM,2.1286,239.3,0.17499,1339.004703
2026-09-11T00:05:06.957Z,SHIB,2.2437,0.0069,5.04e-06,1339.004703
2026-09-11T00:05:06.957Z,BCH,12.3883,338900,225.2,1339.004703
2026-09-11T00:05:06.957Z,UNI,2.4537,8190,5.97,1339.004703
