checkedAt,coin,premium,korbitPrice,foreignPrice,usdKrwRate
2026-09-05T13:00:01.862Z,BTC,1.3733,108940000,79662.7,1348.990395
2026-09-05T13:00:01.862Z,ETH,1.4138,3362000,2457.49,1348.990395
2026-09-05T13:00:01.862Z,SOL,1.2294,140900,103.18,1348.990395
2026-09-05T13:00:01.862Z,BNB,1.3903,1044000,763.3,1348.990395
2026-09-05T13:00:01.862Z,XRP,1.3383,1933,1.414,1348.990395
2026-09-05T13:00:01.862Z,ADA,1.3412,295.7,0.2163,1348.990395
2026-09-05T13:00:01.862Z,AVAX,2.2205,10400,7.542,1348.990395
2026-09-05T13:00:01.862Z,DOT,1.9857,1262,0.9173,1348.990395
2026-09-05T13:00:01.862Z,LINK,0.7068,16070,11.829,1348.990395
2026-09-05T13:00:06.949Z,BTC,1.3658,108940000,79668.6,1348.990395
2026-09-05T13:00:06.949Z,ETH,1.399,3362000,2457.85,1348.990395
2026-09-05T13:00:06.949Z,SOL,1.2522,141000,103.23,1348.990395
2026-09-05T13:00:06.949Z,BNB,1.3372,1044000,763.7,1348.990395
2026-09-05T13:00:06.949Z,XRP,1.3025,1933,1.4145,1348.990395
2026-09-05T13:00:06.949Z,ADA,1.2943,295.7,0.2164,1348.990395
2026-09-05T13:00:06.949Z,AVAX,2.2069,10400,7.543,1348.990395
2026-09-05T13:00:06.949Z,DOT,1.9079,1262,0.918,1348.990395
2026-09-05T13:00:06.949Z,LINK,0.6728,16070,11.833,1348.990395
2026-09-05T13:05:06.913Z,BTC,1.3867,108957000,79664.6,1348.990395
2026-09-05T13:05:06.913Z,ETH,1.2967,3361000,2459.6,1348.990395
2026-09-05T13:05:06.913Z,SOL,1.3142,141100,103.24,1348.990395
2026-09-05T13:05:06.913Z,BNB,1.2841,1044000,764.1,1348.990395
2026-09-05T13:05:06.913Z,XRP,1.3074,1932,1.4137,1348.990395
2026-09-05T13:05:06.913Z,ADA,1.444,296,0.2163,1348.990395
2026-09-05T13:05:06.913Z,AVAX,2.2476,10400,7.54,1348.990395
2026-09-05T13:05:06.913Z,DOT,2.242,1262,0.915,1348.990395
2026-09-05T13:05:06.913Z,LINK,0.5878,16070,11.843,1348.990395
2026-09-05T13:10:07.478Z,BTC,1.3943,108920000,79631.6,1348.990395
2026-09-05T13:10:07.478Z,ETH,1.389,3361000,2457.36,1348.990395
2026-09-05T13:10:07.478Z,SOL,1.4389,141000,103.04,1348.990395
2026-09-05T13:10:07.478Z,BNB,1.2179,1044000,764.6,1348.990395
2026-09-05T13:10:07.478Z,XRP,1.3455,1933,1.4139,1348.990395
2026-09-05T13:10:07.478Z,ADA,1.3594,296.3,0.2167,1348.990395
2026-09-05T13:10:07.478Z,AVAX,2.234,10400,7.541,1348.990395
2026-09-05T13:10:07.478Z,DOT,2.2644,1262,0.9148,1348.990395
2026-09-05T13:10:07.478Z,LINK,0.5708,16070,11.845,1348.990395
2026-09-05T13:15:07.103Z,BTC,1.3579,108938000,79673.3,1348.990395
2026-09-05T13:15:07.103Z,ETH,1.325,3360000,2458.18,1348.990395
2026-09-05T13:15:07.103Z,SOL,1.2718,141000,103.21,1348.990395
2026-09-05T13:15:07.103Z,BNB,0.9407,1044000,766.7,1348.990395
2026-09-05T13:15:07.103Z,XRP,1.3142,1935,1.4158,1348.990395
2026-09-05T13:15:07.103Z,ADA,1.444,296,0.2163,1348.990395
2026-09-05T13:15:07.103Z,AVAX,2.0987,10400,7.551,1348.990395
2026-09-05T13:15:07.103Z,DOT,2.2755,1262,0.9147,1348.990395
2026-09-05T13:15:07.103Z,LINK,0.5029,16070,11.853,1348.990395
2026-09-05T13:20:06.912Z,BTC,1.3712,108924000,79652.6,1348.990395
2026-09-05T13:20:06.912Z,ETH,1.3902,3360000,2456.6,1348.990395
2026-09-05T13:20:06.912Z,SOL,1.3503,141000,103.13,1348.990395
2026-09-05T13:20:06.912Z,BNB,0.967,1044000,766.5,1348.990395
2026-09-05T13:20:06.912Z,XRP,1.4051,1934,1.4138,1348.990395
2026-09-05T13:20:06.912Z,ADA,1.5849,296,0.216,1348.990395
2026-09-05T13:20:06.912Z,AVAX,2.2612,10400,7.539,1348.990395
2026-09-05T13:20:06.912Z,DOT,2.5221,1262,0.9125,1348.990395
2026-09-05T13:20:06.912Z,LINK,0.7324,16070,11.826,1348.990395
2026-09-05T13:25:06.878Z,BTC,1.3479,108970000,79704.6,1348.990395
2026-09-05T13:25:06.878Z,ETH,1.378,3363000,2459.09,1348.990395
2026-09-05T13:25:06.878Z,SOL,1.3798,141000,103.1,1348.990395
2026-09-05T13:25:06.878Z,BNB,1.3107,1044000,763.9,1348.990395
2026-09-05T13:25:06.878Z,XRP,1.35,1935,1.4153,1348.990395
2026-09-05T13:25:06.878Z,ADA,1.5125,296.2,0.2163,1348.990395
2026-09-05T13:25:06.878Z,AVAX,2.2747,10400,7.538,1348.990395
2026-09-05T13:25:06.878Z,DOT,2.5671,1262,0.9121,1348.990395
2026-09-05T13:25:06.878Z,LINK,0.7154,16070,11.828,1348.990395
2026-09-05T13:30:07.088Z,BTC,1.2856,108903000,79704.6,1348.990395
2026-09-05T13:30:07.088Z,ETH,1.3424,3361000,2458.49,1348.990395
2026-09-05T13:30:07.088Z,SOL,1.3276,140900,103.08,1348.990395
2026-09-05T13:30:07.088Z,BNB,1.2444,1044000,764.4,1348.990395
2026-09-05T13:30:07.088Z,XRP,1.3168,1933,1.4143,1348.990395
2026-09-05T13:30:07.088Z,ADA,1.5036,295.9,0.2161,1348.990395
2026-09-05T13:30:07.088Z,AVAX,2.234,10400,7.541,1348.990395
2026-09-05T13:30:07.088Z,DOT,2.5334,1262,0.9124,1348.990395
2026-09-05T13:30:07.088Z,LINK,0.758,16070,11.823,1348.990395
2026-09-05T13:35:06.535Z,BTC,1.3283,108920000,79683.4,1348.990395
2026-09-05T13:35:06.535Z,ETH,1.3366,3360000,2457.9,1348.990395
2026-09-05T13:35:06.535Z,SOL,1.3866,140900,103.02,1348.990395
2026-09-05T13:35:06.535Z,BNB,1.0593,1044000,765.8,1348.990395
2026-09-05T13:35:06.535Z,XRP,1.367,1933,1.4136,1348.990395
2026-09-05T13:35:06.535Z,ADA,1.5506,295.9,0.216,1348.990395
2026-09-05T13:35:06.535Z,AVAX,2.3426,10400,7.533,1348.990395
2026-09-05T13:35:06.535Z,DOT,2.3315,1262,0.9142,1348.990395
2026-09-05T13:35:06.535Z,LINK,0.5369,16070,11.849,1348.990395
2026-09-05T13:40:07.164Z,BTC,1.3956,108897000,79613.7,1348.990395
2026-09-05T13:40:07.164Z,ETH,1.3955,3359000,2455.74,1348.990395
2026-09-05T13:40:07.164Z,SOL,1.3903,140700,102.87,1348.990395
